이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
관할지사(급여),수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액
합계,5110938 ,2475262987060 ,5148094 ,2503446398850 ,5187933 ,2527256105670 ,5228603 ,2557746199050 ,5271180 ,2590023462840 ,5312359 ,2620032101120 ,5362150 ,2796322263060 ,5379562 ,2819162260460 ,5394524 ,2814225491130 ,5406472 ,2825585864690 ,5413547 ,2832559182990 ,5420129 ,2838250980900 
국제협력센터,9762 ,4979268630 ,9975 ,5139457270 ,10113 ,5174456810 ,10351 ,5458696290 ,10539 ,5491949630 ,10758 ,5440948030 ,,,,,,,,,,,,
종로중구,25371 ,12223612940 ,25465 ,12311922770 ,25674 ,12471326380 ,25819 ,12565694390 ,25996 ,12757674090 ,26157 ,12880397260 ,26362 ,13725966020 ,26389 ,13814878920 ,26425 ,13676454970 ,26419 ,13688145910 ,26397 ,13726289260 ,26379 ,13716331430 
동대문중랑,72697 ,32031336370 ,73106 ,32323507370 ,73646 ,32689602460 ,74192 ,32987779900 ,74692 ,33333477650 ,75168 ,33656491280 ,75724 ,35876132900 ,75859 ,36059665320 ,75962 ,35938458500 ,76025 ,35985201580 ,76056 ,36095040160 ,76107 ,36052627360 
성북강북,72804 ,32405716570 ,73256 ,32701797670 ,73726 ,32948171290 ,74225 ,33340899980 ,74749 ,33723987130 ,75232 ,34016982460 ,75757 ,36214020770 ,75863 ,36358463730 ,75944 ,36203067420 ,75969 ,36287145810 ,75982 ,36356272520 ,75958 ,36311957200 
도봉노원,84607 ,40560103920 ,85189 ,40986978630 ,85811 ,41453831920 ,86502 ,41880602970 ,87194 ,42338694690 ,87824 ,42863924820 ,88496 ,45657003430 ,88676 ,45913161910 ,88803 ,45716395000 ,88845 ,45792037050 ,88954 ,45934312260 ,88950 ,45921494820 
성동광진,55966 ,28399488250 ,56305 ,28670013120 ,56717 ,28967020370 ,57046 ,29229438620 ,57421 ,29541515780 ,57874 ,29890672650 ,58285 ,31834092480 ,58294 ,32055390900 ,58321 ,31859477840 ,58366 ,31896230030 ,58335 ,31883109930 ,58299 ,31925501770 
송파,60040 ,36616595020 ,60496 ,36979024390 ,60985 ,37399976360 ,61457 ,37819840970 ,61924 ,38254264200 ,62469 ,38712481790 ,63036 ,41337157270 ,63178 ,41722187070 ,63210 ,41284395910 ,63249 ,41379949980 ,63248 ,41567007220 ,63271 ,41539218100 
강동하남,69659 ,36890886560 ,70177 ,37310729430 ,70833 ,37748712550 ,71435 ,38135578150 ,72102 ,38692373690 ,72728 ,39181009000 ,73373 ,41798050980 ,73642 ,42109189750 ,73797 ,41902877130 ,73878 ,42020978880 ,73994 ,42176928300 ,74061 ,42172484380 
서울남부지역본부,13221 ,8919548640 ,13279 ,8982491380 ,13342 ,9035230390 ,13404 ,9125261400 ,13469 ,9205634010 ,13580 ,9322380350 ,24623 ,15646071870 ,24729 ,15942037830 ,24854 ,15846244430 ,24802 ,15813716110 ,24929 ,15930941000 ,24958 ,15779866480 
서초,34018 ,22675398160 ,34224 ,22959927750 ,34465 ,23187218490 ,34697 ,23327516970 ,34931 ,23599750170 ,35169 ,23804091220 ,35443 ,25400958000 ,35529 ,25723418330 ,35591 ,25339737990 ,35587 ,25425333290 ,35606 ,25438401900 ,35569 ,25436833120 
관악,43791 ,19896875610 ,44041 ,20180467950 ,44331 ,20314682270 ,44602 ,20568983330 ,44884 ,20694559080 ,45199 ,20904806480 ,45488 ,22179210770 ,45537 ,22335720540 ,45578 ,22224603670 ,45568 ,22243813810 ,45550 ,22295119060 ,45527 ,22217997760 
서울북부지역본부,58067 ,29053616960 ,58457 ,29435593740 ,58885 ,29702118410 ,59297 ,30011868760 ,59743 ,30338557510 ,60206 ,30747385710 ,60750 ,32802055880 ,60893 ,33162456100 ,60942 ,32872428130 ,60955 ,32971377670 ,60949 ,32967061960 ,60958 ,33074242310 
구로금천,65874 ,31628000910 ,66221 ,31912050260 ,66639 ,32135146220 ,67143 ,32473006560 ,67615 ,32901323640 ,68075 ,33174247750 ,68593 ,35345270990 ,68678 ,35409292280 ,68779 ,35278612570 ,68938 ,35393393450 ,69010 ,35479665390 ,69055 ,35542838090 
