이체년월,법정동시도,법정동시군_일부통합(연금일시금분류(일시금합침)),노령연금 수급자수,노령연금 금액,장애연금 수급자수,장애연금 금액,유족연금 수급자수,유족연금 금액,일시금 수급자수,일시금 금액
2022-07,서울특별시,종로구,13618 ,6765440400 ,104 ,53673710 ,1977 ,584659430 ,43 ,391564250 
2022-07,서울특별시,중구,11966 ,5566614280 ,117 ,54980740 ,1660 ,469077730 ,41 ,359256260 
2022-07,서울특별시,용산구,19695 ,10763267510 ,170 ,112827660 ,2769 ,873590990 ,89 ,912418420 
2022-07,서울특별시,성동구,26115 ,13304605890 ,230 ,190100850 ,3885 ,1129454820 ,61 ,369153720 
2022-07,서울특별시,광진구,30066 ,15206608170 ,291 ,198088830 ,4526 ,1325672930 ,113 ,673970070 
2022-07,서울특별시,동대문구,33165 ,14809348120 ,365 ,163148580 ,5298 ,1443865940 ,121 ,666736000 
2022-07,서울특별시,중랑구,39657 ,17280169180 ,436 ,194348850 ,6357 ,1704972420 ,156 ,639406320 
2022-07,서울특별시,성북구,40176 ,18913109390 ,416 ,207442880 ,6438 ,1789616130 ,98 ,591479100 
2022-07,서울특별시,강북구,32747 ,13557631820 ,405 ,180927400 ,5433 ,1426165480 ,106 ,378389270 
2022-07,서울특별시,도봉구,36752 ,17567276580 ,406 ,248552010 ,5532 ,1531149540 ,113 ,565449640 
2022-07,서울특별시,노원구,47985 ,23059479970 ,645 ,358970630 ,7885 ,2196245020 ,170 ,830567640 
2022-07,서울특별시,은평구,47964 ,22084417870 ,534 ,252470870 ,7372 ,2047166100 ,138 ,732006590 
2022-07,서울특별시,서대문구,28874 ,14036452280 ,308 ,169292030 ,4461 ,1289153840 ,84 ,464790710 
2022-07,서울특별시,마포구,29511 ,15200625050 ,305 ,213174430 ,4729 ,1404877030 ,85 ,561646660 
2022-07,서울특별시,양천구,42049 ,22752481600 ,451 ,318980820 ,6189 ,1889781100 ,105 ,612654690 
2022-07,서울특별시,강서구,53985 ,27616120680 ,731 ,408427860 ,7965 ,2377221520 ,112 ,592660770 
2022-07,서울특별시,구로구,42130 ,20724238040 ,489 ,245904670 ,6310 ,1788521810 ,135 ,624238040 
2022-07,서울특별시,금천구,24004 ,11007024560 ,289 ,180733870 ,3574 ,968565660 ,89 ,443565370 
2022-07,서울특별시,영등포구,34400 ,18559553850 ,374 ,182513870 ,5102 ,1548580250 ,138 ,658305600 
2022-07,서울특별시,동작구,37031 ,19449755000 ,317 ,178349680 ,5415 ,1653206650 ,83 ,336780520 
2022-07,서울특별시,관악구,43888 ,19941575850 ,513 ,270619830 ,6882 ,1935409380 ,146 ,636450900 
2022-07,서울특별시,서초구,34339 ,22912902640 ,234 ,199775600 ,4393 ,1686293110 ,72 ,586166280 
2022-07,서울특별시,강남구,44564 ,30277388040 ,383 ,277357850 ,5638 ,2131317460 ,85 ,974114660 
2022-07,서울특별시,송파구,60324 ,36800130530 ,595 ,396863940 ,7609 ,2558913810 ,133 ,900363130 
2022-07,서울특별시,강동구,43709 ,23269714590 ,520 ,314802260 ,6185 ,1855887610 ,129 ,662464410 
2022-07,부산광역시,중구,5628 ,2227591480 ,62 ,25618010 ,913 ,224611120 ,44 ,148985320 
2022-07,부산광역시,서구,14277 ,6209371670 ,170 ,67953220 ,2621 ,677612720 ,38 ,146505030 
2022-07,부산광역시,동구,11857 ,4989128450 ,141 ,55474180 ,2284 ,602027790 ,31 ,101916940 
2022-07,부산광역시,영도구,16892 ,7781075590 ,226 ,92212400 ,3350 ,894850220 ,40 ,205827080 
2022-07,부산광역시,부산진구,41150 ,18816258950 ,571 ,490827040 ,7739 ,2055517910 ,129 ,515647410 
2022-07,부산광역시,동래구,30799 ,15195467530 ,375 ,242161930 ,5364 ,1526593860 ,77 ,324262590 
2022-07,부산광역시,남구,31127 ,15064167860 ,366 ,220200070 ,5839 ,1641634930 ,69 ,321911090 
2022-07,부산광역시,북구,33496 ,16644954040 ,514 ,230826060 ,5363 ,1509579400 ,83 ,373110120 
2022-07,부산광역시,해운대구,41872 ,22111334230 ,500 ,260839950 ,6990 ,2046798190 ,121 ,669105670 
2022-07,부산광역시,사하구,39399 ,19147093390 ,570 ,252640830 ,6632 ,1807549220 ,108 ,660517590 
2022-07,부산광역시,금정구,28809 ,14326271510 ,347 ,192834120 ,4819 ,1355206470 ,55 ,198015470 
2022-07,부산광역시,강서구,11831 ,5816808800 ,173 ,73080720 ,1846 ,491019290 ,65 ,412223010 
2022-07,부산광역시,연제구,23993 ,11457551780 ,279 ,119762450 ,4151 ,1146160750 ,59 ,206091270 
2022-07,부산광역시,수영구,21002 ,10300553790 ,236 ,137105130 ,3535 ,1034827930 ,54 ,263680070 
2022-07,부산광역시,사상구,27433 ,13178971900 ,396 ,207571050 ,4752 ,1245496880 ,93 ,462045230 
2022-07,부산광역시,기장군,16703 ,7853747080 ,251 ,112522140 ,3054 ,824304610 ,43 ,240582840 
2022-07,대구광역시,중구,8011 ,3245517620 ,88 ,36909420 ,1362 ,345634390 ,26 ,84375190 
2022-07,대구광역시,동구,39314 ,16675063580 ,529 ,258357810 ,6880 ,1752662630 ,93 ,378589340 
2022-07,대구광역시,서구,23622 ,9556001120 ,337 ,137096760 ,4333 ,1051989680 ,92 ,378579400 
2022-07,대구광역시,남구,17070 ,6908504150 ,203 ,108600630 ,3191 ,830326620 ,54 ,278279520 
2022-07,대구광역시,북구,42879 ,19303762640 ,680 ,307439930 ,8094 ,2078355090 ,117 ,641147580 
2022-07,대구광역시,수성구,36959 ,19144219150 ,484 ,345489380 ,6343 ,1863694200 ,58 ,329360320 
2022-07,대구광역시,달서구,53518 ,25732929450 ,849 ,538334590 ,9419 ,2532724700 ,130 ,830443180 
2022-07,대구광역시,달성군,24235 ,11396432160 ,402 ,261587780 ,4396 ,1108026430 ,82 ,583595760 
2022-07,인천광역시,중구,12003 ,5769192380 ,160 ,77789860 ,1891 ,511552420 ,44 ,320484330 
2022-07,인천광역시,동구,8031 ,3747825520 ,105 ,42446040 ,1429 ,373429770 ,31 ,156884020 
2022-07,인천광역시,미추홀구,40462 ,18986760670 ,584 ,302459720 ,7177 ,1989663430 ,177 ,947298040 
2022-07,인천광역시,연수구,27485 ,16424005270 ,404 ,204152980 ,4164 ,1300436870 ,125 ,944878500 
2022-07,인천광역시,남동구,45197 ,22391098990 ,838 ,458234190 ,7588 ,2088046510 ,244 ,1402912860 
2022-07,인천광역시,부평구,46393 ,22797057220 ,775 ,495884760 ,7882 ,2208205350 ,254 ,1090705500 
2022-07,인천광역시,계양구,27746 ,13867393310 ,465 ,221078170 ,4537 ,1231581300 ,163 ,747149600 
2022-07,인천광역시,서구,43099 ,22302928450 ,811 ,398695670 ,6958 ,2000359200 ,174 ,1242860390 
2022-07,인천광역시,강화군,12343 ,5465953020 ,106 ,41446280 ,1936 ,439989670 ,35 ,155076340 
2022-07,인천광역시,옹진군,3082 ,1438485250 ,29 ,12859280 ,556 ,138983380 ,12 ,53902260 
2022-07,광주광역시,동구,11543 ,4901519050 ,96 ,40780220 ,1966 ,496073210 ,32 ,141049630 
2022-07,광주광역시,서구,24645 ,11773258240 ,344 ,157363730 ,4470 ,1217380240 ,67 ,220367740 
2022-07,광주광역시,남구,21069 ,9118897310 ,284 ,125883540 ,3877 ,1025287110 ,55 ,314112680 
2022-07,광주광역시,북구,38606 ,17289707970 ,579 ,292300460 ,6966 ,1843162080 ,113 ,645301570 
2022-07,광주광역시,광산구,25339 ,11930243070 ,556 ,251070860 ,5310 ,1377817640 ,101 ,689333710 
2022-07,대전광역시,동구,23953 ,9979592570 ,326 ,139720750 ,4162 ,1033261420 ,69 ,275615160 
2022-07,대전광역시,중구,24825 ,10780279390 ,322 ,142714260 ,4281 ,1111236620 ,62 ,299303690 
2022-07,대전광역시,서구,37250 ,18802656170 ,480 ,232570260 ,6016 ,1688135870 ,103 ,542538110 
2022-07,대전광역시,유성구,22166 ,13172912790 ,313 ,168465580 ,3429 ,1047631140 ,68 ,384846640 
2022-07,대전광역시,대덕구,18383 ,8777965730 ,309 ,145636810 ,2947 ,788353820 ,74 ,249244990 
2022-07,울산광역시,중구,21907 ,13518375990 ,364 ,155663280 ,3690 ,1165588200 ,49 ,212122000 
2022-07,울산광역시,남구,28760 ,18944754350 ,448 ,216958730 ,4802 ,1661951170 ,138 ,676240880 
2022-07,울산광역시,동구,17107 ,14251451770 ,210 ,116410360 ,2564 ,936330910 ,56 ,256448850 
2022-07,울산광역시,북구,15545 ,11492783540 ,320 ,213162850 ,2675 ,870600630 ,62 ,456427250 
2022-07,울산광역시,울주군,23549 ,13477952280 ,374 ,204567690 ,4187 ,1164755930 ,138 ,681426490 
2022-07,세종특별자치시,세종특별자치시,22518 ,11712508950 ,326 ,142433030 ,3943 ,1051916370 ,77 ,517902980 
2022-07,경기도,수원시,85181 ,45637701190 ,1296 ,818502090 ,14232 ,4154350730 ,350 ,1877319750 
